Date,CL,CO,XB,HO,NG,QS,CAP,BAP,DAE
2015-01-02,82.07347951500996,38.490169774872484,26.165447480824675,42.0700553972832,484.4612373353345,42.61685465092098,17.47594251545518,18.86451515709456,6.406463282539948
2015-01-05,77.9456616992048,36.232061622535916,25.216233535657317,40.9806431480357,464.94082117896585,40.66760034575131,17.115623709467943,17.9271145099063,6.10304782126594
2015-01-06,74.65898411756373,34.86082374150984,24.721547037310465,40.44179407851546,473.9750633670372,40.011009421904674,17.115623709467943,17.25424694116988,5.883004989877764
2015-01-07,75.78050442978248,34.894934136560245,24.416703327997123,39.825631881629256,463.16623789202356,39.19027076709633,17.115623709467943,17.374594112035325,5.936492909964336
2015-01-08,75.99857782382509,34.76531463536869,24.47694190528658,40.085685128223815,472.2004800800949,39.37493696442825,17.596048784117595,17.47071805042623,5.972183248100393
2015-01-09,75.32878097069432,34.18543791951191,24.153844081643122,39.898259364912455,475.2656693939044,38.49264291050932,18.196580127429616,17.518780019621687,6.079254262508567
2015-01-12,71.76172331099849,32.357120744810395,23.2648687137652,38.752619386671554,450.90548063678335,38.49264291050932,17.895834030698964,17.42265608123075,6.0852502393154255
2015-01-13,71.48134323294379,31.784066107963664,23.155344027784352,38.2582839359378,474.78169213382927,37.610348856590356,18.31668639609203,17.6149039580126,6.293396291324926
2015-01-14,75.51570102273077,33.21670270008053,24.655832225721944,38.77839042912689,521.5661606077713,37.63086732296057,19.2775365453913,18.263548294274525,6.8644417015018515
2015-01-15,72.04210338905317,32.52085064105232,23.71939616058569,38.03103019792268,509.46672910588927,38.82093837243261,19.09689671732305,18.071300417492676,6.709783569578935
2015-01-16,75.84281111379464,34.22637039357238,24.80369055179612,39.02204392143172,504.4656307517783,38.75938297332197,18.677005202079272,18.912577126289992,6.888235260259222
2015-01-19,,33.31903388523173,,,,38.861975305173004,,,
2015-01-20,72.26017678309579,32.73915716937489,23.964001292609634,38.10834332528863,456.71320775768606,38.923530704283664,18.196580127429616,18.888353893815495,6.715779546385787
2015-01-21,74.2972078049562,33.448653386423246,24.19582854460239,38.57222208948433,479.7827904879403,38.615753708730516,18.256152836686194,19.945717216115593,6.834747340172652
2015-01-22,72.01137910103645,33.100727356909154,24.29257535055216,38.373082215966,457.3585107711196,38.923530704283664,17.415408956049323,20.16218832537193,6.828751363365796
2015-01-23,70.89178953176966,33.2849234901813,24.60472070559759,38.57925055560854,481.7186995282414,39.14923383435591,17.596048784117595,19.72963060261282,6.763366663900534
2015-01-26,70.20759590610658,32.85513251254627,24.035192338497158,38.41759583475243,464.7794954256073,39.00560456976446,17.47594251545518,19.609283431747357,6.691985987628422
2015-01-27,71.8869802600068,33.83751188999784,24.644879757123896,38.9564449042727,480.91207076144946,39.00560456976446,18.13604656802379,19.32091161657465,6.614609334549446
2015-01-28,69.1191060470972,33.06661696185873,24.551783774040185,38.230170071441066,462.35960912523063,39.272344632577195,17.415408956049323,18.407734201860922,6.281499511946233
2015-01-29,69.24350488812685,33.51687417652406,24.710594568712384,37.91623191789444,438.6447233815433,38.861975305173004,17.295302687386897,18.215486325079052,6.275598709374412
2015-01-30,75.01250114087667,36.15019667441501,25.83322260001608,39.50700808399992,434.12760228750705,39.25182616620698,16.995517440805543,19.080601770597337,6.495641540762579
2015-02-02,77.08063187299447,36.68625149071773,26.98268571002493,40.824063210036385,432.99664091199116,42.152511433206556,16.873247531159464,20.135308401132875,6.642712669987391
2015-02-03,82.49198145778418,38.803668015113466,27.973180517585718,42.89139841668968,444.9525183103071,44.16859055495093,17.117787350451618,21.19001503166838,6.6917363797290035
2015-02-04,75.33904809857953,36.29091106369442,25.88388282826878,41.03544242779528,430.0884545178061,44.08630161120623,16.323522017390662,19.823882297862003,6.348570411537774
2015-02-05,78.49566868970672,37.90577619780638,26.636798634368766,41.94832190668828,420.0713680489467,44.7446131611636,15.956712288452433,20.27913203256952,6.569177105374985
2015-02-06,80.37720116028014,38.72996047787182,27.235986851288292,42.71950762422638,416.67848392239756,45.62921930641879,16.38416789257512,21.070353770313076,6.703992307164405
2015-02-09,82.1965342103387,39.09179747887617,27.569645595986866,43.5046304330453,419.58667031658246,46.90469793446119,16.56806183668283,21.501824664623072,6.777527871776811
2015-02-10,77.7803753537863,37.81196660495346,27.11719735055788,42.570845317231075,432.51194317962717,45.834941665780455,16.873247531159464,20.99825018975283,6.599865947673233
