Date,CL-CO,XB-HO,XB-CL,HO-CL,NG-CL,CAP-BAP,BAP-DAE,CAP-DAE
2000-01-04,1.0399999999999991,,,4.2166,,,,
2000-01-05,0.9600000000000009,,,4.217399999999998,,,,
2000-01-06,0.870000000000001,,,4.081599999999998,,,,
2000-01-07,1.009999999999998,,,3.9228000000000023,,,,
2000-01-10,0.7200000000000024,,,4.026399999999999,,,,
2000-01-11,0.8399999999999999,,,4.147199999999998,,,,
2000-01-12,1.0400000000000027,,,4.250599999999999,,,,
2000-01-13,0.9600000000000009,,,4.056799999999999,,,,
2000-01-14,1.370000000000001,,,4.1584,,,,
2000-01-18,1.620000000000001,,,4.3211999999999975,,,,
2000-01-19,1.6099999999999994,,,4.541800000000002,,,,
2000-01-20,1.6600000000000001,,,4.2088,,,,
2000-01-21,1.1099999999999994,,,3.903200000000002,,,,
2000-01-24,1.2999999999999972,,,4.619600000000002,,,,
2000-01-25,1.1099999999999994,,,4.496199999999998,,,,
2000-01-26,1.2000000000000028,,,4.384,,,,
2000-01-27,1.0899999999999999,,,4.587199999999999,,,,
2000-01-28,1.0399999999999991,,,4.275399999999998,,,,
2000-01-31,1.0399999999999991,,,4.498799999999999,,,,
2000-02-01,1.0600000000000023,,,4.449199999999998,,,,
2000-02-02,1.3499999999999979,,,4.504000000000001,,,,
2000-02-03,1.1099999999999994,,,4.1996,,,,
2000-02-04,1.1500000000000021,,,4.058799999999998,,,,
2000-02-07,0.9000000000000021,,,4.527199999999997,,,,
2000-02-08,0.9699999999999989,,,4.2498000000000005,,,,
2000-02-09,1.0,,,4.409799999999997,,,,
2000-02-10,1.0999999999999979,,,4.284399999999998,,,,
2000-02-11,1.1799999999999997,,,4.163599999999999,,,,
2000-02-14,1.3999999999999986,,,4.054200000000002,,,,
2000-02-15,1.5800000000000018,,,4.487399999999997,,,,
2000-02-16,1.6899999999999977,,,4.456999999999997,,,,
2000-02-17,1.620000000000001,,,4.4254,,,,
2000-02-18,1.7699999999999996,,,4.274399999999996,,,,
2000-02-22,1.4700000000000024,,,4.399599999999996,,,,
2000-02-23,1.120000000000001,,,4.923000000000002,,,,
2000-02-24,1.0599999999999987,,,5.008000000000003,,,,
2000-02-25,1.4100000000000001,,,4.546399999999998,,,,
2000-02-28,1.1500000000000021,,,4.787199999999995,,,,
2000-02-29,1.2299999999999969,,,4.796999999999997,,,,
2000-03-01,1.3900000000000006,,,3.685399999999998,,,,
2000-03-02,1.3399999999999999,,,3.4669999999999987,,,,
2000-03-03,1.370000000000001,,,3.2747999999999955,,,,
2000-03-06,1.3200000000000003,,,3.512800000000002,,,,
2000-03-07,1.1499999999999986,,,3.7078000000000024,,,,
2000-03-08,1.0300000000000011,,,3.9477999999999973,,,,
2000-03-09,1.370000000000001,,,3.5549999999999997,,,,
2000-03-10,1.5500000000000007,,,3.2891999999999975,,,,
2000-03-13,1.4000000000000021,,,3.3613999999999997,,,,
2000-03-14,1.3499999999999979,,,3.1934000000000005,,,,
2000-03-15,1.379999999999999,,,3.219000000000001,,,,
2000-03-16,1.2100000000000009,,,3.3156,,,,
2000-03-17,1.6799999999999997,,,3.0371999999999986,,,,
2000-03-20,1.4499999999999993,,,2.8956000000000017,,,,
2000-03-21,1.5300000000000011,,,3.235199999999999,,,,
2000-03-22,1.2300000000000004,,,3.4545999999999992,,,,
2000-03-23,1.25,,,3.5762,,,,
2000-03-24,1.490000000000002,,,3.3573999999999984,,,,
2000-03-27,1.1899999999999977,,,3.4826000000000015,,,,
2000-03-28,0.6600000000000001,,,3.782199999999996,,,,
2000-03-29,1.0,,,3.3476,,,,
2000-03-30,1.0999999999999979,,,3.5284000000000013,,,,
2000-03-31,1.3100000000000023,,,3.5109999999999957,,,,
2000-04-03,1.1600000000000001,,,2.6632,,,,
2000-04-04,1.0700000000000003,,,2.3263999999999996,,,,
2000-04-05,1.0700000000000003,,,2.5135999999999967,,,,
2000-04-06,1.1900000000000013,,,2.5655999999999963,,,,
2000-04-07,1.1000000000000014,,,2.4423999999999992,,,,
2000-04-10,0.7999999999999972,,,2.8000000000000007,,,,
2000-04-11,0.8800000000000026,,,2.3611999999999966,,,,
2000-04-12,0.9700000000000024,,,2.4303999999999952,,,,
2000-04-13,0.8399999999999999,,,2.624799999999997,,,,
2000-04-14,1.2899999999999991,,,2.459600000000002,,,,
2000-04-17,1.1700000000000017,,,2.574799999999996,,,,
2000-04-18,1.0700000000000003,,,2.660999999999998,,,,
2000-04-19,1.3099999999999987,,,2.9890000000000008,,,,
2000-04-20,1.0799999999999983,,,3.026799999999998,,,,
2000-04-24,,,,2.9503999999999984,,,,
2000-04-25,1.0100000000000016,,,3.176400000000001,,,,
2000-04-26,1.0999999999999979,,,2.5158000000000023,,,,
2000-04-27,1.2600000000000016,,,2.7464000000000013,,,,
2000-04-28,1.1799999999999997,,,2.7657999999999987,,,,
2000-05-01,,,,2.318999999999999,,,,
2000-05-02,1.1699999999999982,,,2.750399999999999,,,,
2000-05-03,1.2199999999999989,,,2.472399999999997,,,,
2000-05-04,1.120000000000001,,,2.6559999999999953,,,,
2000-05-05,0.9499999999999993,,,2.2489999999999988,,,,
2000-05-08,0.9800000000000004,,,2.5931999999999995,,,,
2000-05-09,1.0199999999999996,,,2.3415999999999997,,,,
2000-05-10,1.1600000000000001,,,2.485999999999997,,,,
2000-05-11,1.379999999999999,,,2.3523999999999994,,,,
2000-05-12,1.5599999999999987,,,2.0694000000000017,,,,
2000-05-15,1.509999999999998,,,2.2954000000000008,,,,
2000-05-16,1.4199999999999982,,,2.434799999999999,,,,
2000-05-17,1.7800000000000011,,,2.5479999999999983,,,,
2000-05-18,1.7199999999999989,,,2.535,,,,
2000-05-19,1.740000000000002,,,1.7466000000000008,,,,
2000-05-22,1.5600000000000023,,,2.2753999999999976,,,,
2000-05-23,1.1900000000000013,,,2.6325999999999965,,,,
2000-05-24,1.2299999999999969,,,2.6230000000000047,,,,
2000-05-25,1.1999999999999993,,,2.8491999999999997,,,,
2000-05-26,0.9699999999999989,,,2.7445999999999984,,,,
2000-05-30,1.1799999999999997,,,2.9030000000000022,,,,
2000-05-31,1.3000000000000007,,,3.0185999999999957,,,,
2000-06-01,1.3399999999999999,,,2.247,,,,
2000-06-02,1.1799999999999997,,,2.3606000000000016,,,,
2000-06-05,1.2800000000000011,,,2.3981999999999957,,,,
2000-06-06,1.240000000000002,,,2.3597999999999963,,,,
2000-06-07,1.110000000000003,,,2.1681999999999952,,,,
2000-06-08,1.3299999999999983,,,2.2966000000000015,,,,
2000-06-09,1.1699999999999982,,,2.255600000000001,,,,
2000-06-12,1.1099999999999994,,,2.4747999999999983,,,,
2000-06-13,1.1899999999999977,,,2.4056000000000033,,,,
2000-06-14,1.370000000000001,,,2.296199999999999,,,,
2000-06-15,1.2600000000000016,,,2.1340000000000003,,,,
