Lookback Period (days),0.0,0.02,0.04,0.08,0.16,0.32,0.64
30,-0.68038,-0.41454,-0.5339,-0.62103,-0.02771,0.26314,0.0
60,-0.57889,-0.47425,-0.2552,-0.31267,-0.2613,-0.01244,0.0
90,-0.59349,-0.53368,-0.38743,-0.27472,-0.12382,0.02966,0.0
120,-0.32514,-0.39178,-0.32744,-0.06687,0.08475,-0.04018,0.0
150,-0.20038,-0.29107,-0.17886,0.03694,0.25114,0.21424,0.0
200,-0.2281,-0.17273,-0.03154,0.11808,0.35575,0.31698,0.0
250,-0.17256,-0.08326,0.04052,0.22984,0.08695,0.03852,0.0
