Date,Strategy,F1_raw,F1_continuous,Signal,Position,F1_cont_daily_change,Daily_PnL,MTM,Cumulative_PnL,Equity
2006-01-03,"MA_Crossover(34,47)",4584.0000,4584.0000,,0.0000,,,0.0000,,
2006-01-04,"MA_Crossover(34,47)",4675.5000,4675.5000,,0.0000,91.5000,0.0000,0.0000,0.0000,0.0000
2006-01-05,"MA_Crossover(34,47)",4638.0000,4638.0000,,0.0000,-37.5000,-0.0000,0.0000,0.0000,0.0000
2006-01-06,"MA_Crossover(34,47)",4634.0000,4634.0000,,0.0000,-4.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-09,"MA_Crossover(34,47)",4693.0000,4693.0000,,0.0000,59.0000,0.0000,0.0000,0.0000,0.0000
2006-01-10,"MA_Crossover(34,47)",4689.0000,4689.0000,,0.0000,-4.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-11,"MA_Crossover(34,47)",4681.0000,4681.0000,,0.0000,-8.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-12,"MA_Crossover(34,47)",4659.0000,4659.0000,,0.0000,-22.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-13,"MA_Crossover(34,47)",4747.0000,4747.0000,,0.0000,88.0000,0.0000,0.0000,0.0000,0.0000
2006-01-16,"MA_Crossover(34,47)",4711.0000,4711.0000,,0.0000,-36.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-17,"MA_Crossover(34,47)",4663.0000,4663.0000,,0.0000,-48.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-18,"MA_Crossover(34,47)",4703.0000,4699.0000,,0.0000,36.0000,0.0000,0.0000,0.0000,0.0000
2006-01-19,"MA_Crossover(34,47)",4695.0000,4690.0000,,0.0000,-9.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-20,"MA_Crossover(34,47)",4636.0000,4671.0000,,0.0000,-19.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-23,"MA_Crossover(34,47)",4703.0000,4738.0000,,0.0000,67.0000,0.0000,0.0000,0.0000,0.0000
2006-01-24,"MA_Crossover(34,47)",4743.0000,4778.0000,,0.0000,40.0000,0.0000,0.0000,0.0000,0.0000
2006-01-25,"MA_Crossover(34,47)",4872.0000,4907.0000,,0.0000,129.0000,0.0000,0.0000,0.0000,0.0000
2006-01-26,"MA_Crossover(34,47)",4859.0000,4894.0000,,0.0000,-13.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-27,"MA_Crossover(34,47)",4929.0000,4964.0000,,0.0000,70.0000,0.0000,0.0000,0.0000,0.0000
2006-01-30,"MA_Crossover(34,47)",4915.0000,4950.0000,,0.0000,-14.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-31,"MA_Crossover(34,47)",4912.0000,4947.0000,,0.0000,-3.0000,-0.0000,0.0000,0.0000,0.0000
2006-02-01,"MA_Crossover(34,47)",4937.0000,4972.0000,,0.0000,25.0000,0.0000,0.0000,0.0000,0.0000
2006-02-02,"MA_Crossover(34,47)",5065.5000,5100.5000,,0.0000,128.5000,0.0000,0.0000,0.0000,0.0000
2006-02-03,"MA_Crossover(34,47)",5092.0000,5127.0000,,0.0000,26.5000,0.0000,0.0000,0.0000,0.0000
2006-02-06,"MA_Crossover(34,47)",5129.5000,5164.5000,,0.0000,37.5000,0.0000,0.0000,0.0000,0.0000
2006-02-07,"MA_Crossover(34,47)",5035.0000,5070.0000,,0.0000,-94.5000,-0.0000,0.0000,0.0000,0.0000
2006-02-08,"MA_Crossover(34,47)",5041.0000,5076.0000,,0.0000,6.0000,0.0000,0.0000,0.0000,0.0000
2006-02-09,"MA_Crossover(34,47)",5081.0000,5116.0000,,0.0000,40.0000,0.0000,0.0000,0.0000,0.0000
2006-02-10,"MA_Crossover(34,47)",4894.0000,4929.0000,,0.0000,-187.0000,-0.0000,0.0000,0.0000,0.0000
2006-02-13,"MA_Crossover(34,47)",4934.0000,4969.0000,,0.0000,40.0000,0.0000,0.0000,0.0000,0.0000
