Date,Strategy,F1_raw,F1_continuous,Signal,Position,F1_cont_daily_change,Daily_PnL,MTM,Cumulative_PnL,Equity,MA33,MAA48,Crossover,Position,F1_cont_daily_change,Daily PnL,MTM,Cum_PnL
3/27/2006,"MA_Crossover(33,48)",5360.5,5436,1,1,56.5,56.5,5436,489,489,4998.484848,4969.041667,1,1,56.5,56.5,5436,489
3/28/2006,"MA_Crossover(33,48)",5365.5,5441,1,1,5,5,5441,494,494,5007.106061,4983.010417,1,1,5,5,5441,494
3/29/2006,"MA_Crossover(33,48)",5391,5466.5,1,1,25.5,25.5,5466.5,519.5,519.5,5022.166667,4998.739583,1,1,25.5,25.5,5466.5,519.5
3/30/2006,"MA_Crossover(33,48)",5466,5541.5,1,1,75,75,5541.5,594.5,594.5,5038.287879,5014.635417,1,1,75,75,5541.5,594.5
3/31/2006,"MA_Crossover(33,48)",5440,5515.5,1,1,-26,-26,5515.5,568.5,568.5,5051.984848,5029.15625,1,1,-26,-26,5515.5,568.5
4/3/2006,"MA_Crossover(33,48)",5661.5,5737,1,1,221.5,221.5,5737,790,790,5077.060606,5045.604167,1,1,221.5,221.5,5737,790
4/4/2006,"MA_Crossover(33,48)",5588,5663.5,1,1,-73.5,-73.5,5663.5,716.5,716.5,5099.484848,5060.791667,1,1,-73.5,-73.5,5663.5,716.5
4/5/2006,"MA_Crossover(33,48)",5742.5,5818,1,1,154.5,154.5,5818,871,871,5126.106061,5077.739583,1,1,154.5,154.5,5818,871
4/6/2006,"MA_Crossover(33,48)",5802.5,5878,1,1,60,60,5878,931,931,5151.454545,5096.229167,1,1,60,60,5878,931
4/7/2006,"MA_Crossover(33,48)",5751,5826.5,1,1,-51.5,-51.5,5826.5,879.5,879.5,5173.757576,5113.708333,1,1,-51.5,-51.5,5826.5,879.5
4/10/2006,"MA_Crossover(33,48)",5937.5,6013,1,1,186.5,186.5,6013,1066,1066,5201.090909,5134.552083,1,1,186.5,186.5,6013,1066
4/11/2006,"MA_Crossover(33,48)",6010,6085.5,1,1,72.5,72.5,6085.5,1138.5,1138.5,5232.939394,5154.229167,1,1,72.5,72.5,6085.5,1138.5
4/12/2006,"MA_Crossover(33,48)",6168,6243.5,1,1,158,158,6243.5,1296.5,1296.5,5270.69697,5176.645833,1,1,158,158,6243.5,1296.5
4/13/2006,"MA_Crossover(33,48)",6259,6334.5,1,1,91,91,6334.5,1387.5,1387.5,5316.909091,5200.177083,1,1,91,91,6334.5,1387.5
4/18/2006,"MA_Crossover(33,48)",6555,6630.5,1,1,296,296,6630.5,1683.5,1683.5,5367.636364,5231.84375,1,1,296,296,6630.5,1683.5
4/19/2006,"MA_Crossover(33,48)",6479,6554.5,1,1,-76,-76,6554.5,1607.5,1607.5,5414.272727,5261.802083,1,1,-76,-76,6554.5,1607.5
4/20/2006,"MA_Crossover(33,48)",6370,6445.5,1,1,-109,-109,6445.5,1498.5,1498.5,5454.090909,5288.65625,1,1,-109,-109,6445.5,1498.5
4/21/2006,"MA_Crossover(33,48)",6857,6932.5,1,1,487,487,6932.5,1985.5,1985.5,5508.969697,5329.552083,1,1,487,487,6932.5,1985.5
4/24/2006,"MA_Crossover(33,48)",6884,6959.5,1,1,27,27,6959.5,2012.5,2012.5,5567.484848,5370.177083,1,1,27,27,6959.5,2012.5
4/25/2006,"MA_Crossover(33,48)",7327,7402.5,1,1,443,443,7402.5,2455.5,2455.5,5642.727273,5418.90625,1,1,443,443,7402.5,2455.5
4/26/2006,"MA_Crossover(33,48)",7427,7502.5,1,1,100,100,7502.5,2555.5,2555.5,5722.333333,5472.927083,1,1,100,100,7502.5,2555.5
4/27/2006,"MA_Crossover(33,48)",7182,7257.5,1,1,-245,-245,7257.5,2310.5,2310.5,5791.69697,5521.552083,1,1,-245,-245,7257.5,2310.5
4/28/2006,"MA_Crossover(33,48)",7118,7193.5,1,1,-64,-64,7193.5,2246.5,2246.5,5858.757576,5568.510417,1,1,-64,-64,7193.5,2246.5
5/2/2006,"MA_Crossover(33,48)",7269,7344.5,1,1,151,151,7344.5,2397.5,2397.5,5928.666667,5616.489583,1,1,151,151,7344.5,2397.5
5/3/2006,"MA_Crossover(33,48)",7226,7301.5,1,1,-43,-43,7301.5,2354.5,2354.5,5996.893939,5662.552083,1,1,-43,-43,7301.5,2354.5
5/4/2006,"MA_Crossover(33,48)",7776,7851.5,1,1,550,550,7851.5,2904.5,2904.5,6080.757576,5719.645833,1,1,550,550,7851.5,2904.5
5/5/2006,"MA_Crossover(33,48)",7769,7844.5,1,1,-7,-7,7844.5,2897.5,2897.5,6165.242424,5778.1875,1,1,-7,-7,7844.5,2897.5
5/8/2006,"MA_Crossover(33,48)",7748,7823.5,1,1,-21,-21,7823.5,2876.5,2876.5,6242.787879,5837.0625,1,1,-21,-21,7823.5,2876.5
5/9/2006,"MA_Crossover(33,48)",7942,8017.5,1,1,194,194,8017.5,3070.5,3070.5,6326.969697,5903.895833,1,1,194,194,8017.5,3070.5
5/10/2006,"MA_Crossover(33,48)",8237,8312.5,1,1,295,295,8312.5,3365.5,3365.5,6420.181818,5973.8125,1,1,295,295,8312.5,3365.5
5/11/2006,"MA_Crossover(33,48)",8796,8871.5,1,1,559,559,8871.5,3924.5,3924.5,6530.272727,6054.145833,1,1,559,559,8871.5,3924.5
5/12/2006,"MA_Crossover(33,48)",8634,8709.5,1,1,-162,-162,8709.5,3762.5,3762.5,6631.606061,6128.6875,1,1,-162,-162,8709.5,3762.5
5/15/2006,"MA_Crossover(33,48)",8345,8420.5,1,1,-289,-289,8420.5,3473.5,3473.5,6723.757576,6197.416667,1,1,-289,-289,8420.5,3473.5
5/16/2006,"MA_Crossover(33,48)",8435,8520.5,1,1,100,100,8520.5,3573.5,3573.5,6816.924242,6269.958333,1,1,100,100,8520.5,3573.5
5/17/2006,"MA_Crossover(33,48)",8231,8318.5,1,1,-202,-202,8318.5,3371.5,3371.5,6903.757576,6340.520833,1,1,-202,-202,8318.5,3371.5
5/18/2006,"MA_Crossover(33,48)",8200,8290.5,1,1,-28,-28,8290.5,3343.5,3343.5,6988.878788,6411.354167,1,1,-28,-28,8290.5,3343.5
5/19/2006,"MA_Crossover(33,48)",7646,7771.5,1,1,-519,-519,7771.5,2824.5,2824.5,7054.939394,6468.708333,1,1,-519,-519,7771.5,2824.5
5/22/2006,"MA_Crossover(33,48)",7673,7798.5,1,1,27,27,7798.5,2851.5,2851.5,7122.606061,6526.375,1,1,27,27,7798.5,2851.5
5/23/2006,"MA_Crossover(33,48)",8600,8725.5,1,1,927,927,8725.5,3778.5,3778.5,7211.651515,6602.166667,1,1,927,927,8725.5,3778.5
5/24/2006,"MA_Crossover(33,48)",7955,8080.5,1,1,-645,-645,8080.5,3133.5,3133.5,7283.378788,6664.260417,1,1,-645,-645,8080.5,3133.5
5/25/2006,"MA_Crossover(33,48)",8230,8355.5,1,1,275,275,8355.5,3408.5,3408.5,7358.757576,6731.375,1,1,275,275,8355.5,3408.5
5/26/2006,"MA_Crossover(33,48)",8349,8474.5,1,1,119,119,8474.5,3527.5,3527.5,7435.924242,6801.541667,1,1,119,119,8474.5,3527.5
5/30/2006,"MA_Crossover(33,48)",8060,8185.5,1,1,-289,-289,8185.5,3238.5,3238.5,7505.893939,6861.354167,1,1,-289,-289,8185.5,3238.5
5/31/2006,"MA_Crossover(33,48)",8001,8126.5,1,1,-59,-59,8126.5,3179.5,3179.5,7568.424242,6920.458333,1,1,-59,-59,8126.5,3179.5
6/1/2006,"MA_Crossover(33,48)",7807,7932.5,1,1,-194,-194,7932.5,2985.5,2985.5,7622.878788,6975.583333,1,1,-194,-194,7932.5,2985.5
6/2/2006,"MA_Crossover(33,48)",7967,8092.5,1,1,160,160,8092.5,3145.5,3145.5,7677.393939,7034,1,1,160,160,8092.5,3145.5
6/5/2006,"MA_Crossover(33,48)",7855,7980.5,1,1,-112,-112,7980.5,3033.5,3033.5,7725.757576,7087.4375,1,1,-112,-112,7980.5,3033.5
6/6/2006,"MA_Crossover(33,48)",7603,7728.5,1,1,-252,-252,7728.5,2781.5,2781.5,7757.515152,7135.333333,1,1,-252,-252,7728.5,2781.5
6/7/2006,"MA_Crossover(33,48)",7890,8015.5,1,1,287,287,8015.5,3068.5,3068.5,7800.272727,7188.03125,1,1,287,287,8015.5,3068.5
6/8/2006,"MA_Crossover(33,48)",7407,7532.5,1,1,-483,-483,7532.5,2585.5,2585.5,7831.69697,7230.5625,1,1,-483,-483,7532.5,2585.5
6/9/2006,"MA_Crossover(33,48)",7311,7436.5,1,1,-96,-96,7436.5,2489.5,2489.5,7845.454545,7270.5625,1,1,-96,-96,7436.5,2489.5
6/12/2006,"MA_Crossover(33,48)",7137,7262.5,1,1,-174,-174,7262.5,2315.5,2315.5,7853.121212,7305.375,1,1,-174,-174,7262.5,2315.5
6/13/2006,"MA_Crossover(33,48)",6677.5,6803,1,1,-459.5,-459.5,6803,1856,1856,7833.439394,7331.15625,1,1,-459.5,-459.5,6803,1856
6/14/2006,"MA_Crossover(33,48)",6766,6891.5,1,1,88.5,88.5,6891.5,1944.5,1944.5,7813.409091,7354.166667,1,1,88.5,88.5,6891.5,1944.5
6/15/2006,"MA_Crossover(33,48)",7140,7265.5,1,1,374,374,7265.5,2318.5,2318.5,7812.136364,7386.5,1,1,374,374,7265.5,2318.5
6/16/2006,"MA_Crossover(33,48)",7109,7234.5,1,1,-31,-31,7234.5,2287.5,2287.5,7811.863636,7414.96875,1,1,-31,-31,7234.5,2287.5
6/19/2006,"MA_Crossover(33,48)",6893,7018.5,1,1,-216,-216,7018.5,2071.5,2071.5,7800.469697,7437.6875,1,1,-216,-216,7018.5,2071.5
