S,L,sharpe,ann_return,max_drawdown,total_pnl,hit_rate,n_days
5,26,0.2878,508.3791,-5108.0,9538.16,0.5027,4728
7,21,0.2856,504.5437,-4898.0,9466.2,0.5008,4728
5,23,0.2856,504.5394,-4818.5,9466.12,0.5019,4728
1,59,0.2855,504.2377,-4535.94,9460.46,0.5015,4728
11,79,0.2854,504.1119,-4825.92,9458.1,0.5027,4728
10,83,0.2854,504.1556,-5202.38,9458.92,0.5036,4728
11,76,0.2853,503.8774,-4813.5,9453.7,0.5032,4728
13,20,0.2849,503.1483,-5074.39,9440.02,0.5044,4728
11,80,0.2834,500.6464,-5021.44,9393.08,0.5032,4728
10,81,0.2833,500.3671,-5216.96,9387.84,0.503,4728
1,68,0.2829,499.6881,-4713.94,9375.1,0.5042,4728
9,25,0.2825,498.9365,-4472.24,9361.0,0.5051,4728
9,17,0.2814,497.0519,-4525.5,9325.64,0.5002,4728
12,19,0.2814,497.0583,-4981.15,9325.76,0.5036,4728
11,77,0.2812,496.7289,-4722.92,9319.58,0.503,4728
1,58,0.2811,496.5786,-4478.0,9316.76,0.5006,4728
8,26,0.281,496.3601,-4494.0,9312.66,0.5047,4728
3,32,0.2808,496.0488,-5561.25,9306.82,0.5015,4728
6,28,0.2808,495.9251,-5239.5,9304.5,0.5042,4728
12,14,0.2797,493.9957,-4697.0,9268.3,0.4994,4728
12,71,0.2797,494.0618,-5082.92,9269.54,0.5032,4728
2,49,0.2791,493.0278,-6147.01,9250.14,0.5034,4728
6,23,0.279,492.837,-4913.25,9246.56,0.5015,4728
3,33,0.2788,492.4766,-5609.25,9239.8,0.503,4728
8,19,0.2787,492.1888,-4477.01,9234.4,0.5013,4728
2,58,0.2784,491.7934,-5993.76,9226.98,0.504,4728
1,57,0.2778,490.609,-4548.25,9204.76,0.5002,4728
10,15,0.2776,490.3671,-4917.0,9200.22,0.4989,4728
10,25,0.2767,488.7489,-4805.5,9169.86,0.5055,4728
11,81,0.2763,487.9878,-4970.44,9155.58,0.5023,4728
10,85,0.2762,487.8652,-5659.72,9153.28,0.5021,4728
7,28,0.2757,487.0348,-5359.5,9137.7,0.5049,4728
1,73,0.2756,486.7736,-5008.94,9132.8,0.504,4728
9,83,0.275,485.7854,-5476.72,9114.26,0.5032,4728
7,27,0.2746,485.0318,-4866.0,9100.12,0.5038,4728
10,86,0.2745,484.9081,-5549.7,9097.8,0.5027,4728
1,56,0.2742,484.2611,-4800.75,9085.66,0.5004,4728
8,27,0.2739,483.872,-4730.5,9078.36,0.5053,4728
3,34,0.2732,482.532,-5891.3,9053.22,0.503,4728
1,67,0.273,482.1525,-4709.44,9046.1,0.5036,4728
10,82,0.2722,480.8797,-5558.58,9022.22,0.5025,4728
12,79,0.2722,480.7156,-4720.2,9019.14,0.5036,4728
3,35,0.2718,480.1677,-5969.16,9008.86,0.5038,4728
11,14,0.2715,479.5728,-4905.69,8997.7,0.4985,4728
12,13,0.2715,479.5195,-4905.69,8996.7,0.4989,4728
10,84,0.2714,479.3181,-5450.88,8992.92,0.5023,4728
12,80,0.2713,479.1965,-4720.2,8990.64,0.5036,4728
12,30,0.2711,478.8789,-5856.27,8984.68,0.5063,4728
12,78,0.2709,478.557,-4771.2,8978.64,0.5036,4728
14,27,0.2706,477.9024,-4614.09,8966.36,0.5044,4728
4,94,0.2699,476.7853,-7571.58,8945.4,0.5036,4728
8,18,0.2694,475.9122,-5204.0,8929.02,0.5004,4728
5,29,0.2692,475.5562,-5422.28,8922.34,0.5034,4728
4,28,0.2692,475.5253,-5843.25,8921.76,0.5015,4728
1,33,0.2691,475.279,-5007.81,8917.14,0.4996,4728
7,91,0.269,475.2247,-6941.86,8916.12,0.5027,4728
5,24,0.2687,474.6618,-4778.5,8905.56,0.5015,4728
1,44,0.2683,473.8421,-6203.27,8890.18,0.4994,4728
1,65,0.2681,473.582,-4546.74,8885.3,0.5036,4728
6,21,0.2679,473.243,-4572.25,8878.94,0.5004,4728
9,86,0.2678,473.0095,-6086.92,8874.56,0.5015,4728
11,85,0.2677,472.8784,-4688.86,8872.1,0.5032,4728
15,19,0.266,469.8468,-4559.69,8815.22,0.5053,4728
4,25,0.2657,469.2796,-5610.44,8804.58,0.5004,4728
11,32,0.2653,468.688,-5597.47,8793.48,0.5059,4728
11,13,0.2649,467.8448,-4766.48,8777.66,0.4979,4728
9,85,0.2649,467.8821,-5672.12,8778.36,0.5019,4728
3,100,0.2646,467.4024,-6434.12,8769.36,0.5042,4728
6,36,0.2644,466.9473,-4441.8,8760.82,0.504,4728
3,31,0.2643,466.8535,-6275.29,8759.06,0.5006,4728
4,26,0.2641,466.5038,-6055.75,8752.5,0.5002,4728
10,77,0.2639,466.1734,-5037.0,8746.3,0.5025,4728
13,33,0.2633,465.0168,-4542.51,8724.6,0.503,4728
10,79,0.2632,464.9219,-4930.48,8722.82,0.5023,4728
10,16,0.2631,464.6405,-4748.5,8717.54,0.4992,4728
16,17,0.2628,464.1277,-5385.89,8707.92,0.5047,4728
12,20,0.2628,464.1831,-4767.95,8708.96,0.5038,4728
1,64,0.2627,464.003,-4546.74,8705.58,0.5032,4728
10,87,0.2625,463.6086,-5011.32,8698.18,0.5027,4728
11,86,0.2624,463.5244,-4688.86,8696.6,0.503,4728
15,18,0.2622,463.2216,-5385.89,8690.92,0.5044,4728
12,31,0.2618,462.3646,-5285.11,8674.84,0.5059,4728
3,98,0.2613,461.5651,-6448.64,8659.84,0.5042,4728
12,23,0.2607,460.497,-4957.62,8639.8,0.5051,4728
9,84,0.2606,460.3349,-5476.72,8636.76,0.5025,4728
4,95,0.2604,459.8755,-7024.84,8628.14,0.5034,4728
4,31,0.2602,459.6676,-5642.48,8624.24,0.5027,4728
12,77,0.2599,459.1559,-5114.2,8614.64,0.5025,4728
1,32,0.2598,458.8916,-5676.92,8609.68,0.4992,4728
10,33,0.2595,458.365,-4874.06,8599.8,0.5057,4728
10,14,0.2594,458.1667,-5052.5,8596.08,0.4977,4728
9,26,0.2592,457.865,-4694.34,8590.42,0.5042,4728
11,15,0.2586,456.7383,-4868.5,8569.28,0.4989,4728
