date,Zambia_GDP_YoY
2005-12-30 00:00:00,7.24
2006-12-29 00:00:00,7.9
2007-12-31 00:00:00,8.35
2008-12-31 00:00:00,7.77
2009-12-31 00:00:00,9.22
2010-12-31 00:00:00,10.3
2011-12-30 00:00:00,5.56
2012-12-31 00:00:00,7.6
2013-12-31 00:00:00,5.06
2014-12-31 00:00:00,4.7
2015-12-31 00:00:00,2.92
2016-12-30 00:00:00,3.76
2017-12-29 00:00:00,3.52
2018-12-31 00:00:00,4.03
2019-12-31 00:00:00,1.44
2020-12-31 00:00:00,-3.02
