date,USDMXN_Mexico
2005-08-10 00:00:00,10.579
2005-08-11 00:00:00,10.6035
2005-08-12 00:00:00,10.6438
2005-08-15 00:00:00,10.5878
2005-08-16 00:00:00,10.6037
2005-08-17 00:00:00,10.6337
2005-08-18 00:00:00,10.71
2005-08-19 00:00:00,10.7688
2005-08-22 00:00:00,10.7372
2005-08-23 00:00:00,10.8213
2005-08-24 00:00:00,10.909
2005-08-25 00:00:00,10.8005
2005-08-26 00:00:00,10.8478
2005-08-29 00:00:00,10.8495
2005-08-30 00:00:00,10.8265
2005-08-31 00:00:00,10.7512
2005-09-01 00:00:00,10.741
2005-09-02 00:00:00,10.6708
2005-09-05 00:00:00,10.671
2005-09-06 00:00:00,10.6818
2005-09-07 00:00:00,10.7355
2005-09-08 00:00:00,10.7303
2005-09-09 00:00:00,10.6848
2005-09-12 00:00:00,10.6935
2005-09-13 00:00:00,10.8038
2005-09-14 00:00:00,10.821
2005-09-15 00:00:00,10.8158
2005-09-16 00:00:00,10.8453
2005-09-19 00:00:00,10.8195
2005-09-20 00:00:00,10.8275
2005-09-21 00:00:00,10.8095
2005-09-22 00:00:00,10.842
2005-09-23 00:00:00,10.8439
2005-09-26 00:00:00,10.8713
2005-09-27 00:00:00,10.8848
2005-09-28 00:00:00,10.8518
2005-09-29 00:00:00,10.7975
2005-09-30 00:00:00,10.759
2005-10-03 00:00:00,10.7205
2005-10-04 00:00:00,10.7164
2005-10-05 00:00:00,10.7165
2005-10-06 00:00:00,10.8335
2005-10-07 00:00:00,10.7943
2005-10-10 00:00:00,10.7908
2005-10-11 00:00:00,10.8153
2005-10-12 00:00:00,10.9285
2005-10-13 00:00:00,10.9535
2005-10-14 00:00:00,10.8915
2005-10-17 00:00:00,10.8467
2005-10-18 00:00:00,10.86
2005-10-19 00:00:00,10.8385
2005-10-20 00:00:00,10.8698
2005-10-21 00:00:00,10.8743
2005-10-24 00:00:00,10.8505
2005-10-25 00:00:00,10.873
2005-10-26 00:00:00,10.9044
2005-10-27 00:00:00,10.899
2005-10-28 00:00:00,10.8245
2005-10-31 00:00:00,10.787
2005-11-01 00:00:00,10.7625
2005-11-02 00:00:00,10.7375
2005-11-03 00:00:00,10.762
2005-11-04 00:00:00,10.7538
2005-11-07 00:00:00,10.7078
2005-11-08 00:00:00,10.712
2005-11-09 00:00:00,10.7323
2005-11-10 00:00:00,10.6865
2005-11-11 00:00:00,10.6778
2005-11-14 00:00:00,10.6672
2005-11-15 00:00:00,10.6445
2005-11-16 00:00:00,10.6698
2005-11-17 00:00:00,10.6461
2005-11-18 00:00:00,10.6628
2005-11-21 00:00:00,10.6483
2005-11-22 00:00:00,10.6245
2005-11-23 00:00:00,10.6075
2005-11-24 00:00:00,10.6108
2005-11-25 00:00:00,10.6088
2005-11-28 00:00:00,10.5568
2005-11-29 00:00:00,10.5885
2005-11-30 00:00:00,10.558
2005-12-01 00:00:00,10.5033
2005-12-02 00:00:00,10.4709
2005-12-05 00:00:00,10.4619
2005-12-06 00:00:00,10.4217
2005-12-07 00:00:00,10.4655
2005-12-08 00:00:00,10.5388
2005-12-09 00:00:00,10.643
2005-12-12 00:00:00,10.6328
2005-12-13 00:00:00,10.6225
2005-12-14 00:00:00,10.7315
2005-12-15 00:00:00,10.7495
2005-12-16 00:00:00,10.7435
2005-12-19 00:00:00,10.7303
2005-12-20 00:00:00,10.6635
2005-12-21 00:00:00,10.6183
2005-12-22 00:00:00,10.6603
2005-12-23 00:00:00,10.688
2005-12-26 00:00:00,10.6845
2005-12-27 00:00:00,10.7555
2005-12-28 00:00:00,10.7783
2005-12-29 00:00:00,10.661
2005-12-30 00:00:00,10.635
2006-01-02 00:00:00,10.636
2006-01-03 00:00:00,10.6278
2006-01-04 00:00:00,10.582
2006-01-05 00:00:00,10.6323
2006-01-06 00:00:00,10.5624
2006-01-09 00:00:00,10.5794
2006-01-10 00:00:00,10.6315
2006-01-11 00:00:00,10.5925
2006-01-12 00:00:00,10.5853
2006-01-13 00:00:00,10.5618
2006-01-16 00:00:00,10.5208
2006-01-17 00:00:00,10.5935
2006-01-18 00:00:00,10.5565
2006-01-19 00:00:00,10.5025
2006-01-20 00:00:00,10.5452
2006-01-23 00:00:00,10.5383
2006-01-24 00:00:00,10.4978
2006-01-25 00:00:00,10.5108
2006-01-26 00:00:00,10.4955
2006-01-27 00:00:00,10.4439
2006-01-30 00:00:00,10.4518
2006-01-31 00:00:00,10.4498
2006-02-01 00:00:00,10.4608
2006-02-02 00:00:00,10.4985
2006-02-03 00:00:00,10.4883
2006-02-06 00:00:00,10.4605
2006-02-07 00:00:00,10.5493
2006-02-08 00:00:00,10.5333
2006-02-09 00:00:00,10.4863
2006-02-10 00:00:00,10.5055
2006-02-13 00:00:00,10.5515
2006-02-14 00:00:00,10.5095
2006-02-15 00:00:00,10.542
2006-02-16 00:00:00,10.4808
2006-02-17 00:00:00,10.4353
