date,COMEX_Copper_Net_NonCommercial_Longs
2007-11-13 00:00:00,-6402.0
2007-11-20 00:00:00,-6601.0
2007-11-27 00:00:00,-7920.0
2007-12-04 00:00:00,-8355.0
2007-12-11 00:00:00,-7992.0
2007-12-18 00:00:00,-9044.0
2007-12-25 00:00:00,-8063.0
2008-01-01 00:00:00,-7270.0
2008-01-08 00:00:00,-6197.0
2008-01-15 00:00:00,-8815.0
2008-01-22 00:00:00,-9048.0
2008-01-29 00:00:00,-9336.0
2008-02-05 00:00:00,-7229.0
2008-02-12 00:00:00,554.0
2008-02-19 00:00:00,3552.0
2008-02-26 00:00:00,5581.0
2008-03-04 00:00:00,9096.0
2008-03-11 00:00:00,10000.0
2008-03-18 00:00:00,7343.0
2008-03-25 00:00:00,7555.0
2008-04-01 00:00:00,9581.0
2008-04-08 00:00:00,8841.0
2008-04-15 00:00:00,9283.0
2008-04-22 00:00:00,9013.0
2008-04-29 00:00:00,6564.0
2008-05-06 00:00:00,7194.0
2008-05-13 00:00:00,4188.0
2008-05-20 00:00:00,5040.0
2008-05-27 00:00:00,3661.0
2008-06-03 00:00:00,-887.0
2008-06-10 00:00:00,184.0
2008-06-17 00:00:00,3189.0
2008-06-24 00:00:00,6618.0
2008-07-01 00:00:00,7438.0
2008-07-08 00:00:00,6538.0
2008-07-15 00:00:00,3019.0
2008-07-22 00:00:00,993.0
2008-07-29 00:00:00,-2242.0
2008-08-05 00:00:00,-4319.0
2008-08-12 00:00:00,-5442.0
2008-08-19 00:00:00,-9127.0
2008-08-26 00:00:00,-11052.0
2008-09-02 00:00:00,-12069.0
2008-09-09 00:00:00,-13419.0
2008-09-16 00:00:00,-12397.0
2008-09-23 00:00:00,-9899.0
2008-09-30 00:00:00,-16169.0
2008-10-07 00:00:00,-18799.0
2008-10-14 00:00:00,-18127.0
2008-10-21 00:00:00,-17579.0
2008-10-28 00:00:00,-15883.0
2008-11-04 00:00:00,-16158.0
2008-11-11 00:00:00,-15409.0
2008-11-18 00:00:00,-16244.0
2008-11-25 00:00:00,-16097.0
2008-12-02 00:00:00,-17722.0
2008-12-09 00:00:00,-17217.0
2008-12-16 00:00:00,-18241.0
2008-12-23 00:00:00,-19068.0
2008-12-30 00:00:00,-19445.0
2009-01-06 00:00:00,-19689.0
2009-01-13 00:00:00,-23106.0
2009-01-20 00:00:00,-25309.0
2009-01-27 00:00:00,-25530.0
2009-02-03 00:00:00,-25238.0
2009-02-10 00:00:00,-24645.0
2009-02-17 00:00:00,-27427.0
2009-02-24 00:00:00,-27494.0
2009-03-03 00:00:00,-24897.0
2009-03-10 00:00:00,-20076.0
2009-03-17 00:00:00,-18847.0
2009-03-24 00:00:00,-18415.0
2009-03-31 00:00:00,-18525.0
2009-04-07 00:00:00,-17398.0
2009-04-14 00:00:00,-18861.0
2009-04-21 00:00:00,-19480.0
2009-04-28 00:00:00,-17885.0
2009-05-05 00:00:00,-18538.0
2009-05-12 00:00:00,-18739.0
2009-05-19 00:00:00,-18808.0
2009-05-26 00:00:00,-17712.0
2009-06-02 00:00:00,-18654.0
