date,MOVE_BondVolatility
2016-02-29 00:00:00,83.3856
2016-03-01 00:00:00,84.2161
2016-03-02 00:00:00,83.6548
2016-03-03 00:00:00,81.7159
2016-03-04 00:00:00,78.01
2016-03-05 00:00:00,78.01
2016-03-06 00:00:00,78.01
2016-03-07 00:00:00,77.8254
2016-03-08 00:00:00,80.7152
2016-03-09 00:00:00,80.3559
2016-03-10 00:00:00,80.8503
2016-03-11 00:00:00,81.4223
2016-03-12 00:00:00,81.4223
2016-03-13 00:00:00,81.4223
2016-03-14 00:00:00,79.1166
2016-03-15 00:00:00,78.4721
2016-03-16 00:00:00,74.1591
2016-03-17 00:00:00,72.4143
2016-03-18 00:00:00,71.2631
2016-03-19 00:00:00,71.2631
2016-03-20 00:00:00,71.2631
2016-03-21 00:00:00,70.8269
2016-03-22 00:00:00,71.122
2016-03-23 00:00:00,71.0806
2016-03-24 00:00:00,72.6776
2016-03-25 00:00:00,72.6776
2016-03-26 00:00:00,72.6776
2016-03-27 00:00:00,72.6776
2016-03-28 00:00:00,74.692
2016-03-29 00:00:00,72.6564
2016-03-30 00:00:00,70.5431
2016-03-31 00:00:00,68.8027
2016-04-01 00:00:00,66.997
2016-04-02 00:00:00,66.997
2016-04-03 00:00:00,66.997
2016-04-04 00:00:00,65.3606
2016-04-05 00:00:00,68.3119
2016-04-06 00:00:00,69.708
2016-04-07 00:00:00,71.0948
2016-04-08 00:00:00,70.8799
2016-04-09 00:00:00,70.8799
2016-04-10 00:00:00,70.8799
2016-04-11 00:00:00,69.7667
2016-04-12 00:00:00,68.7767
2016-04-13 00:00:00,67.485
2016-04-14 00:00:00,67.52
2016-04-15 00:00:00,66.4853
2016-04-16 00:00:00,66.4853
2016-04-17 00:00:00,66.4853
2016-04-18 00:00:00,66.3398
2016-04-19 00:00:00,66.4398
2016-04-20 00:00:00,67.7689
2016-04-21 00:00:00,68.5982
2016-04-22 00:00:00,67.7807
2016-04-23 00:00:00,67.7807
2016-04-24 00:00:00,67.7807
2016-04-25 00:00:00,67.8852
2016-04-26 00:00:00,67.1531
2016-04-27 00:00:00,64.7405
2016-04-28 00:00:00,64.6443
2016-04-29 00:00:00,64.921
2016-04-30 00:00:00,64.921
2016-05-01 00:00:00,64.921
2016-05-02 00:00:00,64.6808
2016-05-03 00:00:00,68.4133
2016-05-04 00:00:00,68.1193
2016-05-05 00:00:00,68.6674
2016-05-06 00:00:00,65.1538
2016-05-07 00:00:00,65.1538
2016-05-08 00:00:00,65.1538
2016-05-09 00:00:00,64.119
2016-05-10 00:00:00,63.9664
2016-05-11 00:00:00,63.8888
2016-05-12 00:00:00,63.9185
2016-05-13 00:00:00,64.066
2016-05-14 00:00:00,64.066
2016-05-15 00:00:00,64.066
2016-05-16 00:00:00,66.9396
2016-05-17 00:00:00,67.1195
2016-05-18 00:00:00,69.8479
2016-05-19 00:00:00,70.5554
2016-05-20 00:00:00,68.5137
2016-05-21 00:00:00,68.5137
2016-05-22 00:00:00,68.5137
2016-05-23 00:00:00,67.7843
2016-05-24 00:00:00,69.4106
2016-05-25 00:00:00,67.5364
2016-05-26 00:00:00,66.1539
2016-05-27 00:00:00,66.7644
2016-05-28 00:00:00,66.7644
2016-05-29 00:00:00,66.7644
2016-05-30 00:00:00,66.7644
2016-05-31 00:00:00,67.9149
2016-06-01 00:00:00,68.7501
2016-06-02 00:00:00,69.5592
2016-06-03 00:00:00,67.5923
2016-06-04 00:00:00,67.5923
2016-06-05 00:00:00,67.5923
2016-06-06 00:00:00,66.269
2016-06-07 00:00:00,64.4494
2016-06-08 00:00:00,67.9187
2016-06-09 00:00:00,70.5602
2016-06-10 00:00:00,75.0982
2016-06-11 00:00:00,75.0982
2016-06-12 00:00:00,75.0982
2016-06-13 00:00:00,79.5662
2016-06-14 00:00:00,79.1012
2016-06-15 00:00:00,78.6673
2016-06-16 00:00:00,83.544
2016-06-17 00:00:00,82.5806
2016-06-18 00:00:00,82.5806
2016-06-19 00:00:00,82.5806
2016-06-20 00:00:00,77.3208
2016-06-21 00:00:00,76.964
2016-06-22 00:00:00,79.52
2016-06-23 00:00:00,74.0447
2016-06-24 00:00:00,77.9402
2016-06-25 00:00:00,77.9402
