Tab,Version,Variant,Timing,Sharpe,Net5_Sharpe,AnnRet_pct,MaxDD_USD
Value,V1 MA Reversion 10yr,F2,Same-Day,-0.017,-0.021,-0.18,-5286.4
Value,V1 MA Reversion 10yr,F2,Lag-1,0.004,0.0,0.04,-4950.4
Value,V1 MA Reversion 1yr,F3,Same-Day,-0.198,-0.207,-2.37,-7292.3
Value,V1 MA Reversion 1yr,F3,Lag-1,-0.114,-0.123,-1.35,-5861.3
Value,V1 MA Reversion 3yr,F3,Same-Day,0.022,0.014,0.29,-5333.4
Value,V1 MA Reversion 3yr,F3,Lag-1,0.059,0.051,0.78,-5068.2
Value,V1 MA Reversion 5yr,F3,Same-Day,0.237,0.228,3.2,-5175.0
Value,V1 MA Reversion 5yr,F3,Lag-1,0.25,0.241,3.37,-5421.8
Value,V1 MA Reversion 7yr,F3,Same-Day,0.115,0.109,1.3,-5024.5
Value,V1 MA Reversion 7yr,F3,Lag-1,0.072,0.066,0.81,-5186.5
Value,V1 MA Reversion 10yr,F3,Same-Day,-0.013,-0.017,-0.14,-5184.9
Value,V1 MA Reversion 10yr,F3,Lag-1,0.021,0.017,0.22,-4655.9
Value,V1 MA Reversion 1yr,F4,Same-Day,-0.173,-0.183,-2.07,-7134.7
Value,V1 MA Reversion 1yr,F4,Lag-1,-0.1,-0.11,-1.19,-5479.0
Value,V1 MA Reversion 3yr,F4,Same-Day,0.012,0.005,0.17,-5359.9
Value,V1 MA Reversion 3yr,F4,Lag-1,0.039,0.031,0.51,-4984.5
Value,V1 MA Reversion 5yr,F4,Same-Day,0.229,0.22,3.1,-5175.0
Value,V1 MA Reversion 5yr,F4,Lag-1,0.273,0.264,3.69,-5421.8
Value,V1 MA Reversion 7yr,F4,Same-Day,0.115,0.109,1.3,-5024.5
Value,V1 MA Reversion 7yr,F4,Lag-1,0.061,0.056,0.69,-5186.5
Value,V1 MA Reversion 10yr,F4,Same-Day,0.008,0.004,0.09,-5060.7
Value,V1 MA Reversion 10yr,F4,Lag-1,0.011,0.007,0.12,-4733.2
Value,V1 MA Reversion 1yr,F5,Same-Day,-0.14,-0.149,-1.67,-6636.9
Value,V1 MA Reversion 1yr,F5,Lag-1,-0.109,-0.119,-1.3,-5734.2
Value,V1 MA Reversion 3yr,F5,Same-Day,0.001,-0.006,0.01,-5359.9
Value,V1 MA Reversion 3yr,F5,Lag-1,-0.015,-0.022,-0.21,-4985.0
Value,V1 MA Reversion 5yr,F5,Same-Day,0.242,0.233,3.3,-5175.0
Value,V1 MA Reversion 5yr,F5,Lag-1,0.318,0.309,4.34,-5371.2
Value,V1 MA Reversion 7yr,F5,Same-Day,0.121,0.115,1.37,-5024.5
Value,V1 MA Reversion 7yr,F5,Lag-1,0.072,0.066,0.81,-5186.5
Value,V1 MA Reversion 10yr,F5,Same-Day,0.031,0.027,0.34,-4854.9
Value,V1 MA Reversion 10yr,F5,Lag-1,0.003,-0.002,0.03,-4684.2
