PERFORMANCE SUMMARY,,
Metric,Value,
Start Date,2006-01-03,
End Date,2025-12-31,
Total Calendar Days,5053,
Active Trading Days,4739,
Warmup Days,314,
Total PnL (USD/MT),13385.52,
Annualized Return,711.79,
Annualized Std Dev,1763.97,
Sharpe Ratio,0.4035,
Sortino Ratio,0.5902,
Max Drawdown,-4038.34,
Calmar Ratio,0.1763,
Hit Rate,50.50%,
Avg Win (USD/MT),82.79,
Avg Loss (USD/MT),-79.12,
Profit Factor,1.0725,
Max Consecutive Wins,8,
Max Consecutive Losses,10,
POSITION NOTE,Position[t] = Signal[t-1]  (1-day lag, no leakage),
PnL NOTE,Daily_PnL = Position * ΔF1_continuous  (roll cost captured),
Cum_PnL NOTE,Cum_PnL = cumsum(Daily_PnL)  [NOT Daily_change×abs(pos)],
,,
TRADEBOOK,,
Date,Strategy,F1_raw,F1_continuous,EWMA_9,EWMA_21,x_EWMA_diff,y_vol_norm,z_sig_norm,u_response,Signal,Position,F1_cont_daily_change,Daily_PnL,MTM,Cum_PnL
2006-01-03 00:00:00,CTA(9,21),4584.0,4584.0,4584.0,4584.0,0.0,,,,,0.0,,,0.0,
2006-01-04 00:00:00,CTA(9,21),4675.5,4675.5,4594.1667,4588.3571,5.809524,,,,,0.0,91.5,0.0,0.0,0.0
2006-01-05 00:00:00,CTA(9,21),4638.0,4638.0,4599.037,4590.7211,8.315949,,,,,0.0,-37.5,-0.0,0.0,0.0
2006-01-06 00:00:00,CTA(9,21),4634.0,4634.0,4602.9218,4592.782,10.139822,,,,,0.0,-4.0,-0.0,0.0,0.0
2006-01-09 00:00:00,CTA(9,21),4693.0,4693.0,4612.9305,4597.5543,15.376223,,,,,0.0,59.0,0.0,0.0,0.0
2006-01-10 00:00:00,CTA(9,21),4689.0,4689.0,4621.3827,4601.9088,19.473832,,,,,0.0,-4.0,-0.0,0.0,0.0
2006-01-11 00:00:00,CTA(9,21),4681.0,4681.0,4628.0068,4605.6751,22.331734,,,,,0.0,-8.0,-0.0,0.0,0.0
2006-01-12 00:00:00,CTA(9,21),4659.0,4659.0,4631.4505,4608.2144,23.236139,,,,,0.0,-22.0,-0.0,0.0,0.0
2006-01-13 00:00:00,CTA(9,21),4747.0,4747.0,4644.2893,4614.8232,29.466133,,,,,0.0,88.0,0.0,0.0,0.0
2006-01-16 00:00:00,CTA(9,21),4711.0,4711.0,4651.7016,4619.403,32.298581,,,,,0.0,-36.0,-0.0,0.0,0.0
2006-01-17 00:00:00,CTA(9,21),4663.0,4663.0,4652.957,4621.4791,31.477911,,,,,0.0,-48.0,-0.0,0.0,0.0
2006-01-18 00:00:00,CTA(9,21),4703.0,4699.0,4658.5173,4625.361,33.156295,,,,,0.0,36.0,0.0,0.0,0.0
2006-01-19 00:00:00,CTA(9,21),4695.0,4690.0,4662.571,4628.6772,33.893784,,,,,0.0,-9.0,-0.0,0.0,0.0
2006-01-20 00:00:00,CTA(9,21),4636.0,4671.0,4659.6186,4629.0259,30.592749,,,,,0.0,-19.0,-0.0,0.0,0.0
2006-01-23 00:00:00,CTA(9,21),4703.0,4738.0,4664.4388,4632.5485,31.890323,,,,,0.0,67.0,0.0,0.0,0.0
2006-01-24 00:00:00,CTA(9,21),4743.0,4778.0,4673.1678,4637.8081,35.35975,,,,,0.0,40.0,0.0,0.0,0.0
2006-01-25 00:00:00,CTA(9,21),4872.0,4907.0,4695.2603,4648.9601,46.300218,,,,,0.0,129.0,0.0,0.0,0.0
2006-01-26 00:00:00,CTA(9,21),4859.0,4894.0,4713.4536,4658.962,54.491619,,,,,0.0,-13.0,-0.0,0.0,0.0
