PERFORMANCE SUMMARY,,
Metric,Value,
Start Date,2006-01-03,
End Date,2025-12-31,
Total Calendar Days,5053,
Active Trading Days,4739,
Warmup Days,314,
Total PnL (USD/MT),12096.02,
Annualized Return,643.22,
Annualized Std Dev,1764.07,
Sharpe Ratio,0.3646,
Sortino Ratio,0.5338,
Max Drawdown,-4316.39,
Calmar Ratio,0.149,
Hit Rate,50.37%,
Avg Win (USD/MT),82.73,
Avg Loss (USD/MT),-79.19,
Profit Factor,1.0652,
Max Consecutive Wins,8,
Max Consecutive Losses,13,
POSITION NOTE,Position[t] = Signal[t-1]  (1-day lag, no leakage),
PnL NOTE,Daily_PnL = Position * ΔF1_continuous  (roll cost captured),
Cum_PnL NOTE,Cum_PnL = cumsum(Daily_PnL)  [NOT Daily_change×abs(pos)],
,,
TRADEBOOK,,
Date,Strategy,F1_raw,F1_continuous,EWMA_14,EWMA_15,x_EWMA_diff,y_vol_norm,z_sig_norm,u_response,Signal,Position,F1_cont_daily_change,Daily_PnL,MTM,Cum_PnL
2006-01-03 00:00:00,CTA(14,15),4584.0,4584.0,4584.0,4584.0,0.0,,,,,0.0,,,0.0,
2006-01-04 00:00:00,CTA(14,15),4675.5,4675.5,4590.5357,4590.1,0.435714,,,,,0.0,91.5,0.0,0.0,0.0
2006-01-05 00:00:00,CTA(14,15),4638.0,4638.0,4593.926,4593.2933,0.632687,,,,,0.0,-37.5,-0.0,0.0,0.0
2006-01-06 00:00:00,CTA(14,15),4634.0,4634.0,4596.7884,4596.0071,0.781336,,,,,0.0,-4.0,-0.0,0.0,0.0
2006-01-09 00:00:00,CTA(14,15),4693.0,4693.0,4603.6607,4602.4733,1.187398,,,,,0.0,59.0,0.0,0.0,0.0
2006-01-10 00:00:00,CTA(14,15),4689.0,4689.0,4609.7564,4608.2418,1.514615,,,,,0.0,-4.0,-0.0,0.0,0.0
2006-01-11 00:00:00,CTA(14,15),4681.0,4681.0,4614.8452,4613.0923,1.752896,,,,,0.0,-8.0,-0.0,0.0,0.0
2006-01-12 00:00:00,CTA(14,15),4659.0,4659.0,4617.9991,4616.1528,1.846298,,,,,0.0,-22.0,-0.0,0.0,0.0
2006-01-13 00:00:00,CTA(14,15),4747.0,4747.0,4627.2135,4624.876,2.337501,,,,,0.0,88.0,0.0,0.0,0.0
2006-01-16 00:00:00,CTA(14,15),4711.0,4711.0,4633.1982,4630.6176,2.580651,,,,,0.0,-36.0,-0.0,0.0,0.0
2006-01-17 00:00:00,CTA(14,15),4663.0,4663.0,4635.3269,4632.7764,2.550521,,,,,0.0,-48.0,-0.0,0.0,0.0
2006-01-18 00:00:00,CTA(14,15),4703.0,4699.0,4640.1607,4637.458,2.702739,,,,,0.0,36.0,0.0,0.0,0.0
2006-01-19 00:00:00,CTA(14,15),4695.0,4690.0,4644.0778,4641.2941,2.783696,,,,,0.0,-9.0,-0.0,0.0,0.0
2006-01-20 00:00:00,CTA(14,15),4636.0,4671.0,4643.5008,4640.9412,2.559651,,,,,0.0,-19.0,-0.0,0.0,0.0
2006-01-23 00:00:00,CTA(14,15),4703.0,4738.0,4647.7508,4645.0784,2.672337,,,,,0.0,67.0,0.0,0.0,0.0
2006-01-24 00:00:00,CTA(14,15),4743.0,4778.0,4654.5543,4651.6065,2.947749,,,,,0.0,40.0,0.0,0.0,0.0
2006-01-25 00:00:00,CTA(14,15),4872.0,4907.0,4670.0861,4666.2994,3.786688,,,,,0.0,129.0,0.0,0.0,0.0
2006-01-26 00:00:00,CTA(14,15),4859.0,4894.0,4683.58,4679.1461,4.433832,,,,,0.0,-13.0,-0.0,0.0,0.0
