PERFORMANCE SUMMARY,,
Metric,Value,
Start Date,2006-01-03,
End Date,2025-12-31,
Total Calendar Days,5053,
Active Trading Days,5009,
Warmup Days,44,
Total PnL (USD/MT),22646.88,
Annualized Return,1139.35,
Annualized Std Dev,1845.5,
Sharpe Ratio,0.6174,
Sortino Ratio,0.9059,
Max Drawdown,-4565.0,
Calmar Ratio,0.2496,
Hit Rate,50.81%,
Avg Win (USD/MT),86.72,
Avg Loss (USD/MT),-80.77,
Profit Factor,1.1143,
Max Consecutive Wins,10,
Max Consecutive Losses,14,
POSITION NOTE,Position[t] = Signal[t-1]  (1-day lag, no leakage),
PnL NOTE,Daily_PnL = Position * ΔF1_continuous  (roll cost captured),
Cum_PnL NOTE,Cum_PnL = cumsum(Daily_PnL)  [NOT Daily_change×abs(pos)],
,,
TRADEBOOK,,
Date,Strategy,F1_raw,F1_continuous,MA_36,MA_44,Crossover,Signal,Position,F1_cont_daily_change,Daily_PnL,MTM,Cum_PnL
2006-01-03 00:00:00,MA_Crossover(36,44),4584.0,4584.0,,,,,0.0,,,0.0,
2006-01-04 00:00:00,MA_Crossover(36,44),4675.5,4675.5,,,,,0.0,91.5,0.0,0.0,0.0
2006-01-05 00:00:00,MA_Crossover(36,44),4638.0,4638.0,,,,,0.0,-37.5,-0.0,0.0,0.0
2006-01-06 00:00:00,MA_Crossover(36,44),4634.0,4634.0,,,,,0.0,-4.0,-0.0,0.0,0.0
2006-01-09 00:00:00,MA_Crossover(36,44),4693.0,4693.0,,,,,0.0,59.0,0.0,0.0,0.0
2006-01-10 00:00:00,MA_Crossover(36,44),4689.0,4689.0,,,,,0.0,-4.0,-0.0,0.0,0.0
2006-01-11 00:00:00,MA_Crossover(36,44),4681.0,4681.0,,,,,0.0,-8.0,-0.0,0.0,0.0
2006-01-12 00:00:00,MA_Crossover(36,44),4659.0,4659.0,,,,,0.0,-22.0,-0.0,0.0,0.0
2006-01-13 00:00:00,MA_Crossover(36,44),4747.0,4747.0,,,,,0.0,88.0,0.0,0.0,0.0
2006-01-16 00:00:00,MA_Crossover(36,44),4711.0,4711.0,,,,,0.0,-36.0,-0.0,0.0,0.0
2006-01-17 00:00:00,MA_Crossover(36,44),4663.0,4663.0,,,,,0.0,-48.0,-0.0,0.0,0.0
2006-01-18 00:00:00,MA_Crossover(36,44),4703.0,4699.0,,,,,0.0,36.0,0.0,0.0,0.0
2006-01-19 00:00:00,MA_Crossover(36,44),4695.0,4690.0,,,,,0.0,-9.0,-0.0,0.0,0.0
2006-01-20 00:00:00,MA_Crossover(36,44),4636.0,4671.0,,,,,0.0,-19.0,-0.0,0.0,0.0
2006-01-23 00:00:00,MA_Crossover(36,44),4703.0,4738.0,,,,,0.0,67.0,0.0,0.0,0.0
2006-01-24 00:00:00,MA_Crossover(36,44),4743.0,4778.0,,,,,0.0,40.0,0.0,0.0,0.0
2006-01-25 00:00:00,MA_Crossover(36,44),4872.0,4907.0,,,,,0.0,129.0,0.0,0.0,0.0
2006-01-26 00:00:00,MA_Crossover(36,44),4859.0,4894.0,,,,,0.0,-13.0,-0.0,0.0,0.0
