PERFORMANCE SUMMARY,,
Metric,Value,
Start Date,2006-01-03,
End Date,2025-12-31,
Total Calendar Days,5053,
Active Trading Days,4739,
Warmup Days,314,
Total PnL (USD/MT),2898.7,
Annualized Return,154.14,
Annualized Std Dev,1764.51,
Sharpe Ratio,0.0874,
Sortino Ratio,0.1268,
Max Drawdown,-7611.1,
Calmar Ratio,0.0203,
Hit Rate,49.72%,
Avg Win (USD/MT),81.87,
Avg Loss (USD/MT),-80.1,
Profit Factor,1.0153,
Max Consecutive Wins,10,
Max Consecutive Losses,12,
POSITION NOTE,Position[t] = Signal[t-1]  (1-day lag, no leakage),
PnL NOTE,Daily_PnL = Position * ΔF1_continuous  (roll cost captured),
Cum_PnL NOTE,Cum_PnL = cumsum(Daily_PnL)  [NOT Daily_change×abs(pos)],
,,
TRADEBOOK,,
Date,Strategy,F1_raw,F1_continuous,u_1(S=8,L=24),u_2(S=16,L=48),u_3(S=32,L=96),S_CTA,Signal,Position,F1_cont_daily_change,Daily_PnL,MTM,Cum_PnL
2006-01-03 00:00:00,CTA_Paper(S=8/16/32,L=24/48/96),4584.0,4584.0,,,,,,0.0,,,0.0,
2006-01-04 00:00:00,CTA_Paper(S=8/16/32,L=24/48/96),4675.5,4675.5,,,,,,0.0,91.5,0.0,0.0,0.0
2006-01-05 00:00:00,CTA_Paper(S=8/16/32,L=24/48/96),4638.0,4638.0,,,,,,0.0,-37.5,-0.0,0.0,0.0
2006-01-06 00:00:00,CTA_Paper(S=8/16/32,L=24/48/96),4634.0,4634.0,,,,,,0.0,-4.0,-0.0,0.0,0.0
2006-01-09 00:00:00,CTA_Paper(S=8/16/32,L=24/48/96),4693.0,4693.0,,,,,,0.0,59.0,0.0,0.0,0.0
2006-01-10 00:00:00,CTA_Paper(S=8/16/32,L=24/48/96),4689.0,4689.0,,,,,,0.0,-4.0,-0.0,0.0,0.0
2006-01-11 00:00:00,CTA_Paper(S=8/16/32,L=24/48/96),4681.0,4681.0,,,,,,0.0,-8.0,-0.0,0.0,0.0
2006-01-12 00:00:00,CTA_Paper(S=8/16/32,L=24/48/96),4659.0,4659.0,,,,,,0.0,-22.0,-0.0,0.0,0.0
2006-01-13 00:00:00,CTA_Paper(S=8/16/32,L=24/48/96),4747.0,4747.0,,,,,,0.0,88.0,0.0,0.0,0.0
2006-01-16 00:00:00,CTA_Paper(S=8/16/32,L=24/48/96),4711.0,4711.0,,,,,,0.0,-36.0,-0.0,0.0,0.0
2006-01-17 00:00:00,CTA_Paper(S=8/16/32,L=24/48/96),4663.0,4663.0,,,,,,0.0,-48.0,-0.0,0.0,0.0
