date,SHFE_Copper_Stocks_kt
2011-08-16 00:00:00,485.0
2011-08-17 00:00:00,-75.0
2011-08-18 00:00:00,-1019.0
2011-08-19 00:00:00,-3099.0
2011-08-22 00:00:00,-1797.0
2011-08-23 00:00:00,-75.0
2011-08-24 00:00:00,-49.0
2011-08-25 00:00:00,-98.0
2011-08-26 00:00:00,0.0
2011-08-29 00:00:00,-25.0
2011-08-30 00:00:00,27819.0
2011-08-31 00:00:00,-776.0
2011-09-01 00:00:00,0.0
2011-09-02 00:00:00,549.0
2011-09-05 00:00:00,-125.0
2011-09-06 00:00:00,0.0
2011-09-07 00:00:00,-1005.0
2011-09-08 00:00:00,-200.0
2011-09-09 00:00:00,-125.0
2011-09-12 00:00:00,-125.0
2011-09-13 00:00:00,600.0
2011-09-14 00:00:00,1173.0
2011-09-15 00:00:00,3478.0
2011-09-16 00:00:00,-76.0
2011-09-19 00:00:00,-50.0
2011-09-20 00:00:00,-1252.0
2011-09-21 00:00:00,-937.0
2011-09-22 00:00:00,-625.0
2011-09-23 00:00:00,-1398.0
2011-09-26 00:00:00,-2117.0
2011-09-27 00:00:00,-1099.0
2011-09-28 00:00:00,-25.0
2011-09-29 00:00:00,-620.0
2011-09-30 00:00:00,-895.0
2011-10-03 00:00:00,-895.0
2011-10-04 00:00:00,-895.0
2011-10-05 00:00:00,-895.0
2011-10-06 00:00:00,-895.0
2011-10-07 00:00:00,-895.0
2011-10-10 00:00:00,97.0
2011-10-11 00:00:00,1485.0
2011-10-12 00:00:00,-101.0
2011-10-13 00:00:00,-100.0
2011-10-14 00:00:00,696.0
2011-10-17 00:00:00,1307.0
2011-10-18 00:00:00,3114.0
2011-10-19 00:00:00,-500.0
2011-10-20 00:00:00,-3879.0
2011-10-21 00:00:00,-5011.0
2011-10-24 00:00:00,-5510.0
2011-10-25 00:00:00,-324.0
2011-10-26 00:00:00,0.0
2011-10-27 00:00:00,-1851.0
2011-10-28 00:00:00,0.0
2011-10-31 00:00:00,-150.0
2011-11-01 00:00:00,-99.0
2011-11-02 00:00:00,-50.0
2011-11-03 00:00:00,-25.0
2011-11-04 00:00:00,0.0
2011-11-07 00:00:00,-599.0
2011-11-08 00:00:00,199.0
2011-11-09 00:00:00,-300.0
2011-11-10 00:00:00,0.0
2011-11-11 00:00:00,301.0
2011-11-14 00:00:00,0.0
2011-11-15 00:00:00,2245.0
2011-11-16 00:00:00,3154.0
2011-11-17 00:00:00,0.0
2011-11-18 00:00:00,-4489.0
2011-11-21 00:00:00,-3674.0
2011-11-22 00:00:00,-402.0
2011-11-23 00:00:00,-151.0
2011-11-24 00:00:00,-74.0
2011-11-25 00:00:00,0.0
2011-11-28 00:00:00,-375.0
2011-11-29 00:00:00,0.0
2011-11-30 00:00:00,0.0
2011-12-01 00:00:00,0.0
2011-12-02 00:00:00,0.0
2011-12-05 00:00:00,0.0
2011-12-06 00:00:00,76.0
2011-12-07 00:00:00,-251.0
2011-12-08 00:00:00,-50.0
2011-12-09 00:00:00,0.0
2011-12-12 00:00:00,500.0
2011-12-13 00:00:00,449.0
2011-12-14 00:00:00,852.0
2011-12-15 00:00:00,4969.0
2011-12-16 00:00:00,2305.0
2011-12-19 00:00:00,0.0
2011-12-20 00:00:00,-5767.0
2011-12-21 00:00:00,-175.0
2011-12-22 00:00:00,867.0
2011-12-23 00:00:00,175.0
2011-12-26 00:00:00,1070.0
2011-12-27 00:00:00,0.0
2011-12-28 00:00:00,0.0
2011-12-29 00:00:00,0.0
2011-12-30 00:00:00,101.0
2012-01-02 00:00:00,101.0
2012-01-03 00:00:00,101.0
2012-01-04 00:00:00,5498.0
2012-01-05 00:00:00,825.0
2012-01-06 00:00:00,129.0
2012-01-09 00:00:00,100.0
2012-01-10 00:00:00,1004.0
2012-01-11 00:00:00,3297.0
2012-01-12 00:00:00,9315.0
2012-01-13 00:00:00,9663.0
2012-01-16 00:00:00,4005.0
2012-01-17 00:00:00,2349.0
2012-01-18 00:00:00,1302.0
2012-01-19 00:00:00,3324.0
2012-01-20 00:00:00,1228.0
2012-01-23 00:00:00,1228.0
2012-01-24 00:00:00,1228.0
2012-01-25 00:00:00,1228.0
2012-01-26 00:00:00,1228.0
2012-01-27 00:00:00,1228.0
2012-01-30 00:00:00,101.0
2012-01-31 00:00:00,1603.0
2012-02-01 00:00:00,1402.0
2012-02-02 00:00:00,2024.0
2012-02-03 00:00:00,10998.0
2012-02-06 00:00:00,1177.0
2012-02-07 00:00:00,498.0
2012-02-08 00:00:00,900.0
2012-02-09 00:00:00,5401.0
2012-02-10 00:00:00,1324.0
2012-02-13 00:00:00,3172.0
2012-02-14 00:00:00,5722.0
2012-02-15 00:00:00,4740.0
2012-02-16 00:00:00,8780.0
2012-02-17 00:00:00,-1402.0
2012-02-20 00:00:00,-2854.0
2012-02-21 00:00:00,-2148.0
2012-02-22 00:00:00,-251.0
2012-02-23 00:00:00,50.0
2012-02-24 00:00:00,1726.0
2012-02-27 00:00:00,-202.0
2012-02-28 00:00:00,449.0
2012-02-29 00:00:00,200.0
2012-03-01 00:00:00,376.0
2012-03-02 00:00:00,1526.0
2012-03-05 00:00:00,-75.0
2012-03-06 00:00:00,-398.0
2012-03-07 00:00:00,949.0
2012-03-08 00:00:00,-303.0
2012-03-09 00:00:00,150.0
2012-03-12 00:00:00,-546.0
2012-03-13 00:00:00,99.0
2012-03-14 00:00:00,2150.0
2012-03-15 00:00:00,5545.0
